,Date,Item,Size,Brand,Color,Design,Style,Qty,Department,Product Category,product,size
14388,20-08-2019,Gar-nd-285///50%/Silk/&/50%/Cotton///Colorful//26049762,M,INJIRI,Colorful,50% Silk & 50% Cotton,Gar-nd-285,1,FASHION,CLOTHS,DRESS,MEDIUM
14389,21-08-2019,Muslin-23///50%/Silk/&/50%/Cotton///White//26049630,XL,INJIRI,WHITE,50% Silk & 50% Cotton,Muslin-23,1,FASHION,CLOTHS,DRESS,XL
14390,21-08-2019,DHURRI///NA/DH-B-005JL033,FS,JOLI,DH-B-005,DHURRI,DHURRI,-1,LUGGAGE,ACCESSORIES,BAG,FREE SIZE
14391,21-08-2019,BULK/MASALA/POPS//QUINOA/NATURAL/AHFW028,50g,OFC,NATURAL,MASALA,BULK/MASALA/POPS,1,WELLNESS,KITCHEN,QUINOA,50 Gms
14392,21-08-2019,ROSE/ATTAR/NATURAL/JF009,6 ML,JAIPUR FRAGRANCES,NATURAL,ATTAR,ROSE,1,WELLNESS,HEALTH CARE,ROLLON,6 ML
14393,21-08-2019,MERINO/WOOL/90%/WOOL/10%/CASHMERE/beige/7001528,70 X 180,JAIPUR MODERN,BEIGE,BEADED BORDER,MERINO/WOOL,1,WOMEN,CLOTHS,SCARF,70 X 180
14394,21-08-2019,BLANKET/HW/NEW//PASHMINA/ASSORTED/JMAS009,260X140,JAIPUR MODERN ASSO,ASSORTED,TEXTILE B,BLANKET/HW/NEW,8,HOME,BEDROOM,BLANKET,260X140
14395,21-08-2019,BLANKET/HW/NEW//PASHMINA//JMAS094,260X140,JAIPUR MODERN ASSO,ASSORTED,TEXTILE B,BLANKET/HW/NEW,2,HOME,BEDROOM,BLANKET,260X140
14396,21-08-2019,A1839//100%/COTTON/NATURALMK029,FS,MAKU,NATURAL,GAMCHA,A1839,1,WOMEN,CLOTHS,SCARF,FREE SIZE
14397,21-08-2019,G1701//100%/COTTON/NATURAL/MK150,M,MAKU,NATURAL,INDU,G1701,1,FASHION,CLOTHS,DRESS,MEDIUM
14398,21-08-2019,G1751//100%/COTTON/NATURAL/MK158,S,MAKU,NATURAL,PAJAMA PANT,G1751,1,FASHION,CLOTHS,PANTS,SMALL
14399,21-08-2019,PAPER/BAGS/MEDIUM//PAPER/MULTI/GWK028,FS,GOODWORK,MULTI,BAGS,PAPER/BAGS/MEDIUM,1,STATIONARY,CLOTHS,STATIONARY,FREE SIZE
