,Date,Item,Size,Brand,Color,Design,Style,Qty,Department,Product Category,product,size
13331,2019-04-26,JAGGERY/POPS/50//QUINOA/JAGGERYAHF004,FS,OFC,JAGGERY,ORGANIC,JAGGERY/POPS/50,1.0,WELLNESS,KITCHEN,QUINOA,FREE SIZE
13332,2019-04-26,HARLEY/ESTATE//COFFEE/SINGLE/ARABICABLHU001,FS,BILI HU,SINGLE ROBUSTA,GROUND POWDER,HARLEY/ESTATE,1.0,WELLNESS,KITCHEN,COFFEE,FREE SIZE
13333,2019-04-26,LOFMO/C01//100%/COTTON/NATURAL/WT001,FS,WOVEN THREAD,NATURAL,HAND WEAVE,LOFMO/C01,1.0,HOME,BEDROOM,CUSHION,FREE SIZE
13334,2019-04-26,PO9MO/D02//100%/COTTON/NATURAL/WT006,FS,WOVEN THREAD,NATURAL,HAND WEAVE,PO9MO/D02,1.0,HOME,BEDROOM,CUSHION,FREE SIZE
13335,2019-04-26,P09MO/E01//100%/COTTON/NATURAL/WT007,FS,WOVEN THREAD,NATURAL,HAND WEAVE,P09MO/E01,1.0,HOME,BEDROOM,CUSHION,FREE SIZE
13336,2019-04-26,KORRA/M/JEANS/4900//DENIM/MJ49KOR015,FS,KORRA JM,MJ49,MENS JEANS,KORRA/M/JEANS/4900,1.0,CUSTOM,ACCESSORIES,MAKE TO ORDER,FREE SIZE
13337,2019-04-26,KORRA/M/JEANS/4900//DENIM/MJ49KOR015,FS,KORRA JM,MJ49,MENS JEANS,KORRA/M/JEANS/4900,1.0,CUSTOM,ACCESSORIES,MAKE TO ORDER,FREE SIZE
13338,2019-04-27,SKIN/SERUM/CLARIFYING/COSMETIC/ARGAN/TEA/TREE/ILN002,15ml,ILANA ORGANICS,ARGAN TEA TREE,ila ATT,SKIN/SERUM/CLARIFYING,1.0,WELLNESS,COSMETICS,COSMETICS,15ml
13339,2019-04-27,DAISY/EXTRACT//NA/NATURAL/VC001,FS,VAUNT,NATURAL,FACE WASH,DAISY/EXTRACT,1.0,WELLNESS,COSMETICS,COSMETICS,FREE SIZE
13340,2019-04-27,WATERMELON//NA/NATURAL/VC002,FS,VAUNT,NATURAL,FACE MIST,WATERMELON,1.0,WELLNESS,COSMETICS,COSMETICS,FREE SIZE
13341,2019-04-27,MULTIVITAMIN//NA/NATURAL/VC003,FS,VAUNT,NATURAL,HYDRATOR,MULTIVITAMIN,1.0,WELLNESS,COSMETICS,COSMETICS,FREE SIZE
13342,2019-04-27,BRAZIL/NUT//NA/NATURAL/VC004,FS,VAUNT,NATURAL,FACE OIL,BRAZIL/NUT,1.0,WELLNESS,COSMETICS,COSMETICS,FREE SIZE
13343,2019-04-27,VITAMIN/C/WATER//NA/NATURAL/VC006,FS,VAUNT,NATURAL,VITAMIN WATER,VITAMIN/C/WATER,1.0,WELLNESS,COSMETICS,COSMETICS,FREE SIZE
13344,2019-04-27,PALM/TREE/METAL/NA/AZ093,FS,AZGA,NATURAL,CUFFLINK 56,PALM/TREE,1.0,JEWELLERY,ACCESSORIES,BROOCH,FREE SIZE
13345,2019-04-27,CO4040CUGWW886GM//COTTON/66144/WW1907,FS,WOMEN WEAVES,66144,GM,CO4040CUGWW886GM,1.0,WOMEN,CLOTHS,SCARF,FREE SIZE
13346,2019-04-27,MBBCL/08/BRASS//BRASS/METALLICMBJ113,FS,M BIJOU,METALLIC,MBBCL 08 BRASS,MBBCL/08/BRASS,1.0,JEWELLERY,ACCESSORIES,BRACELETTES,FREE SIZE
13347,2019-04-27,G1808//100%/COTTON/NATURALMK031,L,MAKU,NATURAL,MINAR,G1808,1.0,FASHION,CLOTHS,BOTTOMS,LARGE
